CBAT1:1
CBOOT1:1
CFF1:1
CIN1:1
CINX1:1
COUT1:1
COUT2:1
CREG1:1
CREGIN1:1
CSRN1:1
CSRP1:1
CSS1:1
CVDD1:1
CVDD2:1
CVDDA1:1
CVDDA2:1
D1:1
D10:1
D2:1
D3:1
D4:1
D5:1
D6:1
D7:1
D8:1
D9:1
DZ1:1
H1:1
H2:1
H3:1
H4:1
J1:1
J2:1
L1:1
QBAT1:1
QREGIN1:1
QVEN1:1
RBATB1:1
RBATT1:1
RBOOT1:1
REN_MCU1:1
REN_PD1:1
RFBB1:1
RFBT1:1
RLED1:1
RLED10:1
RLED2:1
RLED3:1
RLED4:1
RLED5:1
RLED6:1
RLED7:1
RLED8:1
RLED9:1
RREGIN1:1
RRESET1:1
RSCL1:1
RSDA1:1
RSRN1:1
RSRP1:1
RT1:1
RTS1:1
RVENB1:1
RVENT1:1
SW_BOOT1:1
SW_RESET1:1
SW_WAKE1:1
TH1:1
TP_3V3:1
TP_BOOT1:1
U1:1
U2:1
U3:1
